Nachname;Vorname;Partei-Nr;Land-Nr.;Platz;Wahlkreis - Nr.
Aae;Per Lennart ;22;;;158
Abele;Sebastian Tobias;29;2; 50 ;  
Abolhassanzadeh Talischi;Roya;13;10; 30 ;  
Acker;Klaus;22;11; 10 ;  
Acker;Reinmund;;;;216
Ackermann;Dr. Lothar Matthias;17;11; 31 ;  
Ackermann;Jens;17;14; 2 ;68
Adam;Michael;29;2; 43 ;231
Adler;Beate;4;9; 11 ;30
Adomeit;Michael Harald;;;;15
Aengenvoort;Manfred August;22;10; 15 ;  
Ahlers;Werner;15;2; 13 ;  
Ahlgrimm;Jonas;13;;;174
Ahr-Wiehe;Kornelia;17;7; 38 ;  
Ahrendt;Christian;17;8; 1 ;13
Ahrens;Dirk;26;11; 3 ;  
Aigner;Alois;23;2; 33 ;230
Aigner;Ilse;8;2; 4 ;224
Aita;Pasquale;;;;184
Aken van;Jan;13;6; 1 ;  
Akgün;Dr. Lale;29;10; 29 ;95
Albanesi;Stefan;13;;;256
Albertsen;Sönke;;;;2
Albrecht;Frank;17;10; 43 ;116
Albrecht;Klaus;13;;;168
Albrecht;Richard Hermann;5;2; 14 ;  
Aldag;Wilfried;22;;;43
Allenstein;Michael;11;7; 3 ;  
Alpers;Agnes;13;5; 1 ;  
Altmaier;Peter;6;12; 1 ;297
Altmayer;Fernande;17;12; 7 ;  
Amann;Gregor;29;7; 13 ;182
Ambrosius;Gerhard;22;12; 2 ;  
Andreae;Kerstin;4;1; 1 ;281
Andrejewski;Michael;22;;;16
Andresen;Volker;29;15; 22 ;  
Andromidas;Andrea;5;7; 8 ;  
Angne;Christian;17;11; 21 ;  
Anslinger;Winfried;4;12; 5 ;299
Ansorge;Daniel Richard;23;2; 13 ;257
Anspach-Papa;Kornelia;6;12; 9 ;  
Aparicio de Eckelmann;Marta;13;1; 7 ;258
Apel;Rainer;5;7; 10 ;182
Appel;Detlef;22;4; 8 ;  
Appelt;Johannes Peter;5;2; 15 ;  
Appelt;Ron;22;;;224
Appenrodt;Corinna;29;16; 9 ;  
Araz;Feryal;20;10; 7 ;  
Arendt;Dirk;22;8; 5 ;  
Armstroff;Dörthe;22;11; 1 ;209
Arndt;Holger-Michael;4;;;108
Arndt-Brauer;Ingrid;29;10; 10 ;125
Arnold;Karin;27;;;246
Arnold;Ludger;29;7; 42 ;  
Arnold;Rainer;29;1; 10 ;262
Artmeyer;Ludwig;4;;;127
Aschenberg-Dugnus;Christine;17;15; 4 ;4
Aßmann;Helma;5;4; 3 ;  
Atan;Ferit;20;1; 5 ;  
Auernhammer;Artur Friedrich;8;2; 31 ;  
August;Elisabeth;13;10; 21 ;  
Augustin;Andreas;26;12; 7 ;  
Aulenbacher;Reiner;20;12; 1 ;296
Aulila;Martin;3;2; 12 ;  
Aumer;Peter;8;;;233
Aydin;Hüseyin Kenan;13;;;117
Azima;Armin;5;;;20
Baade;Klaus Hermann ;22;5; 2 ;55
Babic;Safet;22;11; 2 ;204
Bach;Thomas;6;7; 24 ;  
Bachmann;Iris;4;7; 17 ;  
Bacholke;Sabrina;21;3; 4 ;  
Backes;Veronika;6;7; 36 ;  
Bader;Jürgen;20;6; 2 ;20
Badum;Lisa;4;2; 15 ;236
Baecker;Dietrich Karl Ernst;24;5; 1 ;  
Baer;Peter;;;;292
Baerbock;Annalena;4;4; 3 ;64
Bahr;Daniel;17;10; 8 ;130
Bähr;Manfred;17;14; 3 ;71
