Wahlkreis ID;Wahlkreisname;BundeslandID
1;Flensburg - Schleswig;15
2;Nordfriesland - Dithmarschen Nord;15
3;Steinburg - Dithmarschen Süd;15
4;Rendsburg-Eckernförde;15
5;Kiel;15
6;Plön - Neumünster;15
7;Pinneberg;15
8;Segeberg - Stormarn-Nord;15
9;Ostholstein;15
10;Herzogtum Lauenburg - Stormarn-Süd;15
11;Lübeck;15
12;Wismar - Nordwestmecklenburg - Parchim;8
13;Schwerin - Ludwigslust;8
14;Rostock;8
15;Stralsund - Nordvorpommern - Rügen;8
16;Greifswald - Demmin - Ostvorpommern;8
17;Bad Doberan - Güstrow - Müritz;8
18;Neubrandenburg - Mecklenburg-Strelitz - Uecker-Randow;8
19;Hamburg-Mitte;6
20;Hamburg-Altona;6
21;Hamburg-Eimsbüttel;6
22;Hamburg-Nord;6
23;Hamburg-Wandsbek;6
24;Hamburg-Bergedorf - Harburg;6
25;Aurich - Emden;9
26;Unterems;9
27;Friesland - Wilhelmshaven;9
28;Oldenburg - Ammerland;9
29;Delmenhorst - Wesermarsch - Oldenburg-Land;9
30;Cuxhaven - Stade II;9
31;Stade I - Rotenburg II;9
32;Mittelems;9
33;Cloppenburg - Vechta;9
34;Diepholz - Nienburg I;9
35;Osterholz - Verden;9
36;Rotenburg I - Soltau-Fallingbostel;9
37;Harburg;9
38;Lüchow-Dannenberg - Lüneburg;9
39;Osnabrück-Land;9
40;Stadt Osnabrück;9
41;Nienburg II - Schaumburg;9
42;Stadt Hannover I;9
43;Stadt Hannover II;9
44;Hannover-Land I;9
45;Celle - Uelzen;9
46;Gifhorn - Peine;9
47;Hameln-Pyrmont - Holzminden;9
48;Hannover-Land II;9
49;Hildesheim;9
50;Salzgitter - Wolfenbüttel;9
51;Braunschweig;9
52;Helmstedt - Wolfsburg;9
53;Goslar - Northeim - Osterode;9
54;Göttingen;9
55;Bremen I;5
56;Bremen II - Bremerhaven;5
57;Prignitz - Ostprignitz-Ruppin - Havelland I;4
58;Uckermark - Barnim I;4
59;Oberhavel - Havelland II;4
60;Märkisch-Oderland - Barnim II;4
61;Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I;4
62;Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II;4
63;Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I;4
64;Frankfurt (Oder) - Oder-Spree;4
65;Cottbus - Spree-Neiße;4
66;Elbe-Elster - Oberspreewald-Lausitz II;4
67;Altmark;14
68;Börde - Jerichower Land;14
69;Harz;14
70;Magdeburg;14
71;Dessau - Wittenberg;14
72;Anhalt;14
73;Halle;14
74;Burgenland - Saalekreis;14
75;Mansfeld;14
76;Berlin-Mitte;3
77;Berlin-Pankow;3
78;Berlin-Reinickendorf;3
79;Berlin-Spandau - Charlottenburg Nord;3
80;Berlin-Steglitz - Zehlendorf;3
81;Berlin-Charlottenburg - Wilmersdorf;3
82;Berlin-Tempelhof - Schöneberg;3
83;Berlin-Neukölln;3
84;Berlin-Friedrichshain - Kreuzberg - Prenzlauer Berg Ost;3
85;Berlin-Treptow - Köpenick;3
86;Berlin-Marzahn - Hellersdorf;3
87;Berlin-Lichtenberg;3
88;Aachen;10
89;Kreis Aachen;10
90;Heinsberg;10
91;Düren;10
92;Erftkreis I;10
93;Euskirchen - Erftkreis II;10
94;Köln I;10
95;Köln II;10
96;Köln III;10
97;Bonn;10
98;Rhein-Sieg-Kreis I;10
99;Rhein-Sieg-Kreis II;10
100;Oberbergischer Kreis;10
101;Rheinisch-Bergischer Kreis;10
102;Leverkusen - Köln IV;10
103;Wuppertal I;10
104;Solingen - Remscheid - Wuppertal II;10
105;Mettmann I;10
106;Mettmann II;10
107;Düsseldorf I;10
